state,county,homepage,kind,owner,link_text,url
FL,santa_rosa,https://votesantarosa.gov/,accessibility,other-host,Accessibility,https://soesoftware.com/election-website-accessibility-best-practices/
FL,sarasota,https://www.sarasotavotes.gov,accessibility,county,Accessibility,https://www.sarasotavotes.gov/site/accessibility
FL,sarasota,https://www.sarasotavotes.gov,copyright,county,Copyright Notices,https://www.sarasotavotes.gov/copyright
FL,seminole,https://voteseminole.gov/,records,county,Public Records Requests Request election-related public records.,https://voteseminole.gov/maps-data-and-records/public-records-requests/
FL,st._johns,https://www.votesjc.gov,records,county,Public Records Requests,https://www.votesjc.gov/public-records-requests
FL,st._johns,https://www.votesjc.gov,privacy,county,Privacy Policy,https://www.votesjc.gov/privacy-policy
FL,st._lucie,https://www.stlucievotes.gov,records,other-host,Public Records Request,https://stluciecountysoefl.nextrequest.com/
FL,st._lucie,https://www.stlucievotes.gov,records,county,Public Records Request Policy,https://www.stlucievotes.gov/public_record_request_policy.php
FL,sumter,https://elections.sumtercountyfl.gov,accessibility,county,Accessibility,https://elections.sumtercountyfl.gov/site/accessibility
FL,sumter,https://elections.sumtercountyfl.gov,copyright,county,Copyright Notices,https://elections.sumtercountyfl.gov/copyright
FL,sumter,https://elections.sumtercountyfl.gov,privacy,county,Privacy Policy,https://elections.sumtercountyfl.gov/site/privacy
FL,suwannee,https://www.suwanneevotes.com,records,county,Public Records Request,https://www.suwanneevotes.com/public-records-request/
FL,suwannee,https://www.suwanneevotes.com,privacy,county,Privacy Policy,https://www.suwanneevotes.com/privacy-policy/
FL,suwannee,https://www.suwanneevotes.com,accessibility,county,Accessibility Policy,https://www.suwanneevotes.com/accessibility-policy/
FL,taylor,https://www.taylorelectionsfl.gov,records,county,Public Records Request,https://www.taylorelectionsfl.gov/public-records-request/
FL,taylor,https://www.taylorelectionsfl.gov,disclaimer,county,"August 14, 2026 Voter Eligibility Notice August 14, 2026 Legal Notice Pursuant to F.F.98.075, notice is hereby given to ",https://www.taylorelectionsfl.gov/announcements/voter-eligibility-notice-4/
FL,taylor,https://www.taylorelectionsfl.gov,privacy,county,Privacy Policy,https://www.taylorelectionsfl.gov/privacy-policy/
FL,taylor,https://www.taylorelectionsfl.gov,accessibility,county,Accessibility Policy,https://www.taylorelectionsfl.gov/accessibility-policy/
FL,union,https://unionflvotes.com/,privacy,county,Privacy Policy,https://unionflvotes.com/privacy-policy/
